minute,total_power,stability
0,1147.0,1.0
1,1147,0.995
2,1147,0.995
3,1147,0.995
4,1147,0.995
5,1147,0.995
6,1147,0.995
7,1147,0.995
8,1147,0.995
9,1147,0.995
10,1147,0.995
11,1147,0.995
12,1147,0.995
13,1147,0.995
14,1147,0.995
15,1147,0.995
16,1147,0.995
17,1147,0.995
18,1147,0.995
19,1147,0.995
20,1147,0.995
21,1147,0.995
22,1147,0.995
23,1147,0.995
24,1147,0.995
25,1147,0.995
26,1147,0.995
27,1147,0.995
28,1147,0.995
29,1147,0.995
30,1147,0.995
31,1147,0.995
32,1147,0.995
33,1147,0.995
34,1147,0.995
35,1147,0.995
36,1147,0.995
37,1147,0.995
38,1147,0.995
39,1147,0.995
40,1147,0.995
41,1147,0.995
42,1147,0.995
43,1147,0.995
44,1147,0.995
45,1147,0.995
46,1147,0.995
47,1147,0.995
48,1147,0.995
49,1147,0.995
50,1147,0.995
51,1147,0.995
52,1147,0.995
53,1147,0.995
54,1147,0.995
55,1147,0.995
56,1147,0.995
57,1147,0.995
58,1147,0.995
59,1147,0.995
60,1147,0.995
61,1147,0.995
62,1122,1.017
63,1122,1.017
64,1122,1.017
65,1122,1.017
66,1122,1.017
67,1152,0.991
68,1152,0.991
69,1127,1.013
70,1127,1.013
71,1127,1.013
72,1114,1.024
73,1114,1.024
74,1145,0.997
75,1145,0.997
76,1137,1.004
77,1128,1.012
78,1128,1.012
79,1117,1.022
80,1117,1.022
81,1148,0.994
82,1148,0.994
83,1148,0.994
84,1148,0.994
85,1139,1.002
86,1139,1.002
87,1139,1.002
88,1139,1.002
89,1139,1.002
90,1117,1.022
91,1156,0.987
92,1142,0.999
93,1142,0.999
94,1129,1.011
95,1129,1.011
96,1111,1.027
97,1111,1.027
98,1144,0.998
99,1144,0.998
100,1130,1.01
101,1130,1.01
102,1130,1.01
103,1121,1.018
104,1143,0.998
105,1127,1.013
106,1114,1.024
107,1145,0.997
108,1145,0.997
109,1145,0.997
110,1145,0.997
111,1135,1.005
112,1124,1.015
113,1146,0.996
114,1146,0.996
115,1146,0.996
116,1135,1.005
117,1135,1.005
118,1135,1.005
119,1135,1.005
120,1115,1.024
121,1142,0.999
122,1142,0.999
123,1142,0.999
124,1133,1.007
125,1116,1.023
126,1154,0.989
127,1143,0.998
128,1111,1.027
129,1111,1.027
130,1143,0.998
131,1143,0.998
132,1143,0.998
133,1143,0.998
134,1128,1.012
135,1128,1.012
136,1128,1.012
137,1128,1.012
138,1128,1.012
139,1154,0.989
140,1154,0.989
141,1116,1.023
142,1149,0.993
143,1149,0.993
144,1138,1.003
145,1132,1.008
146,1117,1.022
147,1153,0.99
148,1153,0.99
149,1139,1.002
150,1125,1.014
151,1125,1.014
152,1115,1.024
153,1115,1.024
154,1143,0.998
155,1137,1.004
156,1130,1.01
157,1115,1.024
158,1115,1.024
159,1115,1.024
160,1144,0.998
161,1144,0.998
162,1121,1.018
163,1121,1.018
164,1151,0.992
165,1140,1.001
166,1140,1.001
167,1140,1.001
168,1130,1.01
169,1130,1.01
170,1143,0.998
171,1143,0.998
172,1143,0.998
173,1143,0.998
174,1143,0.998
175,1148,0.994
176,1123,1.016
177,1150,0.992
178,1131,1.009
179,1131,1.009
180,1131,1.009
181,1109,1.029
182,1146,0.996
183,1136,1.005
184,1130,1.01
185,1130,1.01
186,1117,1.022
187,1150,0.992
188,1150,0.992
189,1127,1.013
190,1146,0.996
191,1146,0.996
192,1121,1.018
193,1114,1.024
194,1148,0.994
195,1141,1.0
196,1126,1.014
197,1120,1.019
198,1120,1.019
199,1148,0.994
200,1148,0.994
201,1148,0.994
202,1148,0.994
203,1148,0.994
204,1148,0.994
205,1141,1.0
206,1148,0.994
207,1135,1.005
208,1135,1.005
209,1145,0.997
210,1130,1.01
211,1143,0.998
212,1143,0.998
213,1143,0.998
214,1143,0.998
215,1143,0.998
216,1143,0.998
217,1143,0.998
218,1143,0.998
219,1131,1.009
220,1131,1.009
221,1116,1.023
222,1116,1.023
223,1116,1.023
224,1144,0.998
225,1144,0.998
226,1132,1.008
227,1146,0.996
228,1146,0.996
229,1132,1.008
230,1121,1.018
231,1121,1.018
232,1143,0.998
233,1143,0.998
234,1143,0.998
235,1143,0.998
236,1143,0.998
237,1143,0.998
238,1130,1.01
239,1117,1.022
240,1117,1.022
